[2022-04-21 02:25:22,836] [162] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:25:23,224] [162] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: requestofmine
[2022-04-21 02:25:23,773] [162] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:25:24,112] [162] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:25:24,448] [162] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:25:24,793] [162] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:25:25,213] [162] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:25:25,580] [162] 127.0.0.1 requested http://localhost/aboutINFO in __init__: requestofmine
[2022-04-21 02:25:25,944] [162] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: requestofmine
[2022-04-21 02:25:26,292] [162] 127.0.0.1 requested http://localhost/page5INFO in __init__: requestofmine
[2022-04-21 02:31:59,627] [176] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:31:59,986] [176] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: requestofmine
[2022-04-21 02:32:00,550] [176] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:32:01,033] [176] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:32:01,374] [176] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:32:01,753] [176] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:32:02,105] [176] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 02:32:02,449] [176] 127.0.0.1 requested http://localhost/aboutINFO in __init__: requestofmine
[2022-04-21 02:32:02,788] [176] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: requestofmine
